idx	label	predict	correct	time
0	3	3	1	0:00:14.220649
1	8	8	1	0:00:14.061268
2	8	8	1	0:00:14.068983
3	0	0	1	0:00:14.069053
4	6	6	1	0:00:14.077302
5	6	6	1	0:00:14.083235
6	1	1	1	0:00:14.078464
7	6	6	1	0:00:14.086154
8	3	3	1	0:00:14.090796
9	1	1	1	0:00:14.082879
10	0	0	1	0:00:14.097211
11	9	9	1	0:00:14.097213
12	5	5	1	0:00:14.093443
13	7	7	1	0:00:14.093724
14	9	9	1	0:00:14.101999
15	8	8	1	0:00:14.106070
16	5	5	1	0:00:14.110366
17	7	7	1	0:00:14.104254
18	8	8	1	0:00:14.109121
19	6	6	1	0:00:14.112956
20	7	7	1	0:00:14.112544
21	0	2	0	0:00:14.113201
22	4	0	0	0:00:14.114988
23	9	9	1	0:00:14.114845
24	5	4	0	0:00:14.109813
25	2	2	1	0:00:14.115341
26	4	4	1	0:00:14.116320
27	0	0	1	0:00:14.118822
28	9	9	1	0:00:14.121272
29	6	6	1	0:00:14.119689
30	6	6	1	0:00:14.121278
31	5	2	0	0:00:14.119093
32	4	4	1	0:00:14.123567
33	5	3	0	0:00:14.130174
34	9	9	1	0:00:14.127620
35	2	3	0	0:00:14.122475
36	4	4	1	0:00:14.125255
37	1	9	0	0:00:14.124821
38	9	9	1	0:00:14.122113
39	5	5	1	0:00:14.127832
40	4	4	1	0:00:14.129798
41	6	6	1	0:00:14.125501
42	5	5	1	0:00:14.128677
43	6	6	1	0:00:14.129001
44	0	0	1	0:00:14.127642
45	9	9	1	0:00:14.131911
46	3	3	1	0:00:14.126829
47	9	3	0	0:00:14.125764
48	7	7	1	0:00:14.130984
49	6	6	1	0:00:14.127243
50	9	9	1	0:00:14.136493
51	8	8	1	0:00:14.130404
52	0	2	0	0:00:14.128765
53	3	5	0	0:00:14.126531
54	8	8	1	0:00:14.130230
55	8	8	1	0:00:14.133815
56	7	5	0	0:00:14.134907
57	7	1	0	0:00:14.127532
58	4	3	0	0:00:14.129722
59	6	5	0	0:00:14.127653
60	7	7	1	0:00:14.131253
61	3	3	1	0:00:14.135729
62	6	6	1	0:00:14.133070
63	3	9	0	0:00:14.130827
64	6	6	1	0:00:14.131102
65	2	2	1	0:00:14.129900
66	1	1	1	0:00:14.129401
67	2	2	1	0:00:14.133132
68	3	3	1	0:00:14.133456
69	7	9	0	0:00:14.134316
70	2	0	0	0:00:14.132585
71	6	6	1	0:00:14.132037
72	8	8	1	0:00:14.132629
73	8	8	1	0:00:14.136768
74	0	0	1	0:00:14.130896
75	2	2	1	0:00:14.130098
76	9	9	1	0:00:14.135055
77	3	3	1	0:00:14.135985
78	3	3	1	0:00:14.135437
79	8	8	1	0:00:14.136036
80	8	8	1	0:00:14.133581
81	1	1	1	0:00:14.133864
82	1	1	1	0:00:14.131960
83	7	7	1	0:00:14.135864
84	2	2	1	0:00:14.138533
85	5	7	0	0:00:14.134842
86	2	2	1	0:00:14.131558
87	7	9	0	0:00:14.134412
88	8	8	1	0:00:14.130522
89	9	9	1	0:00:14.134803
90	0	0	1	0:00:14.139874
91	3	2	0	0:00:14.133075
92	8	8	1	0:00:14.135473
93	6	6	1	0:00:14.133198
94	4	4	1	0:00:14.135147
95	6	3	0	0:00:14.134844
96	6	6	1	0:00:14.138405
97	0	0	1	0:00:14.135561
98	0	0	1	0:00:14.137855
99	7	7	1	0:00:14.139473
100	4	4	1	0:00:14.132920
101	5	7	0	0:00:14.132127
102	6	6	1	0:00:14.140948
103	3	3	1	0:00:14.131617
104	1	1	1	0:00:14.133909
105	1	1	1	0:00:14.135205
106	3	2	0	0:00:14.131969
107	6	6	1	0:00:14.137837
108	8	8	1	0:00:14.136231
109	7	7	1	0:00:14.133497
110	4	-1	0	0:00:14.129749
111	0	0	1	0:00:14.134267
112	6	2	0	0:00:14.132508
113	2	2	1	0:00:14.137766
114	1	1	1	0:00:14.133343
