idx	label	predict	correct	time
0	3	3	1	0:00:14.677233
1	8	8	1	0:00:14.063088
2	8	8	1	0:00:14.059464
3	0	0	1	0:00:14.064229
4	6	6	1	0:00:14.073422
5	6	6	1	0:00:14.077684
6	1	1	1	0:00:14.072448
7	6	6	1	0:00:14.084376
8	3	3	1	0:00:14.082373
9	1	1	1	0:00:14.089679
10	0	0	1	0:00:14.103076
11	9	9	1	0:00:14.089300
12	5	5	1	0:00:14.094011
13	7	7	1	0:00:14.106335
14	9	9	1	0:00:14.102630
15	8	8	1	0:00:14.106723
16	5	5	1	0:00:14.112541
17	7	7	1	0:00:14.104380
18	8	8	1	0:00:14.104067
19	6	6	1	0:00:14.109080
20	7	7	1	0:00:14.108073
21	0	2	0	0:00:14.109798
22	4	0	0	0:00:14.118345
23	9	9	1	0:00:14.120469
24	5	4	0	0:00:14.111793
25	2	2	1	0:00:14.115583
26	4	4	1	0:00:14.108640
27	0	0	1	0:00:14.118033
28	9	9	1	0:00:14.117859
29	6	6	1	0:00:14.117242
30	6	6	1	0:00:14.120533
31	5	2	0	0:00:14.120164
32	4	4	1	0:00:14.114424
33	5	3	0	0:00:14.122407
34	9	9	1	0:00:14.117504
35	2	3	0	0:00:14.114583
36	4	7	0	0:00:14.115549
37	1	9	0	0:00:14.117559
38	9	9	1	0:00:14.119453
39	5	5	1	0:00:14.118175
40	4	4	1	0:00:14.116281
41	6	6	1	0:00:14.119910
42	5	5	1	0:00:14.119069
43	6	6	1	0:00:14.120200
44	0	8	0	0:00:14.124372
45	9	9	1	0:00:14.128406
46	3	3	1	0:00:14.120247
47	9	3	0	0:00:14.114246
48	7	7	1	0:00:14.123374
49	6	6	1	0:00:14.121420
50	9	9	1	0:00:14.127835
51	8	8	1	0:00:14.120668
52	0	2	0	0:00:14.122138
53	3	5	0	0:00:14.125397
54	8	8	1	0:00:14.124572
55	8	8	1	0:00:14.126284
56	7	5	0	0:00:14.124558
57	7	1	0	0:00:14.124089
58	4	3	0	0:00:14.124300
59	6	5	0	0:00:14.124117
60	7	7	1	0:00:14.126798
61	3	3	1	0:00:14.128679
62	6	6	1	0:00:14.128241
63	3	9	0	0:00:14.126771
64	6	6	1	0:00:14.123687
65	2	2	1	0:00:14.124975
66	1	1	1	0:00:14.126225
67	2	2	1	0:00:14.131526
68	3	3	1	0:00:14.122661
69	7	7	1	0:00:14.121537
70	2	0	0	0:00:14.120338
71	6	6	1	0:00:14.122844
72	8	8	1	0:00:14.128756
73	8	8	1	0:00:14.127754
74	0	0	1	0:00:14.123017
75	2	2	1	0:00:14.125930
76	9	9	1	0:00:14.125881
77	3	3	1	0:00:14.126594
78	3	3	1	0:00:14.123615
79	8	8	1	0:00:14.124555
80	8	8	1	0:00:14.123974
81	1	1	1	0:00:14.122992
82	1	1	1	0:00:14.122095
83	7	7	1	0:00:14.120967
84	2	2	1	0:00:14.127062
85	5	7	0	0:00:14.123886
86	2	2	1	0:00:14.121860
87	7	9	0	0:00:14.121965
