idx	label	predict	correct	time
0	3	3	1	0:00:31.555340
1	8	8	1	0:00:31.068015
2	8	8	1	0:00:31.069543
3	0	0	1	0:00:31.063903
4	6	6	1	0:00:31.071124
5	6	6	1	0:00:31.072088
6	1	1	1	0:00:31.066888
7	6	6	1	0:00:31.066351
8	3	3	1	0:00:31.073634
9	1	9	0	0:00:31.063281
10	0	0	1	0:00:31.071379
11	9	9	1	0:00:31.065225
12	5	5	1	0:00:31.068310
13	7	7	1	0:00:31.065948
14	9	9	1	0:00:31.069464
15	8	8	1	0:00:31.077764
16	5	5	1	0:00:31.062761
17	7	7	1	0:00:31.069945
18	8	8	1	0:00:31.064070
19	6	6	1	0:00:31.055392
20	7	7	1	0:00:31.066137
21	0	2	0	0:00:31.069570
22	4	0	0	0:00:31.073212
23	9	9	1	0:00:31.078805
24	5	4	0	0:00:31.070928
25	2	2	1	0:00:31.082909
26	4	4	1	0:00:31.087196
27	0	0	1	0:00:31.066402
28	9	9	1	0:00:31.081987
29	6	6	1	0:00:31.070081
30	6	6	1	0:00:31.073780
31	5	2	0	0:00:31.071396
32	4	4	1	0:00:31.066742
33	5	3	0	0:00:31.060009
34	9	9	1	0:00:31.069865
35	2	3	0	0:00:31.072626
36	4	4	1	0:00:31.067298
37	1	9	0	0:00:31.061492
38	9	9	1	0:00:31.068423
39	5	5	1	0:00:31.068347
40	4	4	1	0:00:31.069611
41	6	6	1	0:00:31.067665
42	5	5	1	0:00:31.074066
43	6	6	1	0:00:31.075225
44	0	-1	0	0:00:31.070968
45	9	9	1	0:00:31.070531
46	3	3	1	0:00:31.070584
47	9	3	0	0:00:31.072282
48	7	7	1	0:00:31.071005
49	6	6	1	0:00:31.060150
50	9	9	1	0:00:31.072949
51	8	8	1	0:00:31.072243
52	0	2	0	0:00:31.067447
53	3	5	0	0:00:31.071398
54	8	8	1	0:00:31.072303
55	8	8	1	0:00:31.063923
56	7	5	0	0:00:31.081401
57	7	1	0	0:00:31.071060
58	4	3	0	0:00:31.071431
59	6	5	0	0:00:31.074433
60	7	7	1	0:00:31.069501
61	3	3	1	0:00:31.064447
62	6	6	1	0:00:31.069159
63	3	9	0	0:00:31.071064
64	6	6	1	0:00:31.075834
65	2	2	1	0:00:31.070549
66	1	1	1	0:00:31.070597
67	2	2	1	0:00:31.074416
68	3	3	1	0:00:31.063345
69	7	9	0	0:00:31.066867
70	2	0	0	0:00:31.072866
71	6	6	1	0:00:31.061101
72	8	8	1	0:00:31.062579
73	8	8	1	0:00:31.077583
74	0	0	1	0:00:31.074747
75	2	2	1	0:00:31.059327
76	9	9	1	0:00:31.065279
77	3	3	1	0:00:31.078779
78	3	3	1	0:00:31.063132
79	8	8	1	0:00:31.067569
80	8	8	1	0:00:31.060143
81	1	1	1	0:00:31.066752
82	1	1	1	0:00:31.076056
83	7	7	1	0:00:31.068870
84	2	2	1	0:00:31.066184
85	5	7	0	0:00:31.066977
86	2	2	1	0:00:31.065191
87	7	9	0	0:00:31.064959
88	8	8	1	0:00:31.072026
89	9	9	1	0:00:31.059502
90	0	0	1	0:00:31.074073
91	3	2	0	0:00:31.075982
92	8	8	1	0:00:31.066840
93	6	6	1	0:00:31.064400
94	4	4	1	0:00:31.078305
95	6	3	0	0:00:31.067471
96	6	6	1	0:00:31.062324
97	0	8	0	0:00:31.066432
98	0	0	1	0:00:31.064231
99	7	7	1	0:00:31.070079
100	4	4	1	0:00:31.062848
101	5	3	0	0:00:31.072863
102	6	6	1	0:00:31.066860
103	3	3	1	0:00:31.067714
104	1	1	1	0:00:31.071896
105	1	1	1	0:00:31.077249
106	3	2	0	0:00:31.076260
107	6	6	1	0:00:31.070894
108	8	8	1	0:00:31.063881
109	7	7	1	0:00:31.079129
110	4	6	0	0:00:31.066556
111	0	0	1	0:00:31.079665
112	6	2	0	0:00:31.078334
113	2	2	1	0:00:31.072442
114	1	1	1	0:00:31.075505
115	3	3	1	0:00:31.069796
116	0	0	1	0:00:31.074775
117	4	4	1	0:00:31.071826
118	2	3	0	0:00:31.064028
119	7	5	0	0:00:31.073155
120	8	8	1	0:00:31.070998
121	3	4	0	0:00:31.066773
122	1	1	1	0:00:31.081764
123	2	2	1	0:00:31.078636
124	8	-1	0	0:00:31.074535
125	0	2	0	0:00:31.069116
126	8	0	0	0:00:31.066751
127	3	3	1	0:00:31.088905
128	5	3	0	0:00:31.062472
129	2	0	0	0:00:31.069764
130	4	2	0	0:00:31.075510
131	1	1	1	0:00:31.075373
132	8	8	1	0:00:31.067818
133	9	9	1	0:00:31.074738
134	1	1	1	0:00:31.071591
135	2	2	1	0:00:31.065775
136	9	9	1	0:00:31.074614
137	7	7	1	0:00:31.085596
138	2	2	1	0:00:31.078750
139	9	8	0	0:00:31.066082
140	6	6	1	0:00:31.069289
141	5	5	1	0:00:31.076141
142	6	6	1	0:00:31.073591
143	3	5	0	0:00:31.081987
144	8	8	1	0:00:31.066581
145	7	7	1	0:00:31.092696
146	6	6	1	0:00:31.072037
147	2	5	0	0:00:31.076715
148	5	7	0	0:00:31.075504
149	2	5	0	0:00:31.067163
150	8	8	1	0:00:31.074798
151	9	9	1	0:00:31.084269
152	6	6	1	0:00:31.069565
153	0	0	1	0:00:31.075588
154	0	0	1	0:00:31.068249
155	5	5	1	0:00:31.069998
156	2	2	1	0:00:31.072987
157	9	9	1	0:00:31.054977
158	5	3	0	0:00:31.066766
159	4	4	1	0:00:31.071400
160	2	2	1	0:00:31.066653
161	1	1	1	0:00:31.077709
162	6	3	0	0:00:31.070107
163	6	6	1	0:00:31.072846
164	8	9	0	0:00:31.077749
165	4	2	0	0:00:31.058941
166	8	8	1	0:00:31.070420
167	4	6	0	0:00:31.076589
168	5	9	0	0:00:31.067418
169	0	0	1	0:00:31.060169
170	9	9	1	0:00:31.061288
171	9	7	0	0:00:31.066393
172	9	6	0	0:00:31.067876
173	8	8	1	0:00:31.079177
174	9	9	1	0:00:31.066292
175	9	9	1	0:00:31.061698
176	3	3	1	0:00:31.064783
177	7	7	1	0:00:31.070222
178	5	5	1	0:00:31.069573
179	0	0	1	0:00:31.066795
180	0	0	1	0:00:31.067187
181	5	7	0	0:00:31.076493
182	2	2	1	0:00:31.067938
183	2	2	1	0:00:31.067243
184	3	0	0	0:00:31.077004
185	8	8	1	0:00:31.067853
186	6	6	1	0:00:31.066783
187	3	3	1	0:00:31.070354
188	4	3	0	0:00:31.061841
189	0	8	0	0:00:31.069080
190	5	5	1	0:00:31.071861
191	8	3	0	0:00:31.054845
192	0	0	1	0:00:31.064456
193	1	1	1	0:00:31.074289
194	7	7	1	0:00:31.078361
195	2	2	1	0:00:31.081156
196	8	8	1	0:00:31.072206
197	8	8	1	0:00:31.070404
198	7	7	1	0:00:31.073779
199	8	3	0	0:00:31.080469
200	5	3	0	0:00:31.071313
201	1	0	0	0:00:31.065880
202	8	8	1	0:00:31.073629
203	7	7	1	0:00:31.075952
204	1	1	1	0:00:31.069169
205	3	3	1	0:00:31.075482
206	0	0	1	0:00:31.070901
207	5	5	1	0:00:31.070636
208	7	7	1	0:00:31.067533
209	9	9	1	0:00:31.070865
210	7	5	0	0:00:31.076112
211	4	9	0	0:00:31.069929
212	5	5	1	0:00:31.073372
213	9	7	0	0:00:31.069746
214	8	8	1	0:00:31.070223
215	0	2	0	0:00:31.084102
216	7	7	1	0:00:31.073200
217	9	9	1	0:00:31.073311
218	8	0	0	0:00:31.065584
219	2	2	1	0:00:31.070567
220	7	7	1	0:00:31.073585
221	6	6	1	0:00:31.074670
222	9	9	1	0:00:31.063165
223	4	4	1	0:00:31.072528
224	3	9	0	0:00:31.069592
225	9	9	1	0:00:31.084926
226	6	4	0	0:00:31.069037
227	4	2	0	0:00:31.062786
228	7	3	0	0:00:31.066943
229	6	3	0	0:00:31.068376
230	5	5	1	0:00:31.067882
231	1	1	1	0:00:31.067461
232	5	3	0	0:00:31.070051
233	8	1	0	0:00:31.068420
234	8	8	1	0:00:31.073661
235	0	0	1	0:00:31.071442
236	4	4	1	0:00:31.075009
237	0	2	0	0:00:31.066647
238	5	5	1	0:00:31.061741
239	5	5	1	0:00:31.076144
240	1	1	1	0:00:31.066041
241	1	1	1	0:00:31.068325
242	8	0	0	0:00:31.065788
243	9	9	1	0:00:31.072781
244	0	0	1	0:00:31.070599
245	3	8	0	0:00:31.081243
246	1	1	1	0:00:31.059500
247	9	8	0	0:00:31.069661
248	2	2	1	0:00:31.072660
249	2	2	1	0:00:31.078256
250	5	5	1	0:00:31.064741
251	3	3	1	0:00:31.067595
252	9	9	1	0:00:31.082263
253	9	9	1	0:00:31.061187
254	4	6	0	0:00:31.084522
255	0	0	1	0:00:31.074384
256	3	6	0	0:00:31.066329
257	0	0	1	0:00:31.066923
258	0	8	0	0:00:31.069382
259	9	9	1	0:00:31.069056
260	8	-1	0	0:00:31.071861
261	1	1	1	0:00:31.066102
262	5	5	1	0:00:31.071933
263	7	3	0	0:00:31.067180
