idx	label	predict	correct	time
0	6	6	1	0:00:14.737278
1	9	9	1	0:00:14.058113
2	9	9	1	0:00:14.055847
3	4	4	1	0:00:14.060085
4	1	1	1	0:00:14.064567
5	1	1	1	0:00:14.071934
6	2	2	1	0:00:14.066148
7	7	7	1	0:00:14.072654
8	8	8	1	0:00:14.071542
9	3	3	1	0:00:14.078203
10	4	4	1	0:00:14.079063
11	7	-1	0	0:00:14.076483
12	7	7	1	0:00:14.080062
13	2	8	0	0:00:14.081653
14	9	7	0	0:00:14.080666
15	9	8	0	0:00:14.088432
16	9	9	1	0:00:14.093998
17	3	6	0	0:00:14.094495
18	2	6	0	0:00:14.097412
19	6	9	0	0:00:14.094388
20	4	4	1	0:00:14.097344
21	3	3	1	0:00:14.102418
22	6	6	1	0:00:14.100309
23	6	6	1	0:00:14.106185
24	2	2	1	0:00:14.107910
25	6	3	0	0:00:14.105755
26	3	3	1	0:00:14.105675
27	5	2	0	0:00:14.115937
28	4	4	1	0:00:14.106616
29	0	0	1	0:00:14.112063
30	0	0	1	0:00:14.115501
31	9	9	1	0:00:14.115315
32	1	1	1	0:00:14.109029
33	3	3	1	0:00:14.112389
34	4	2	0	0:00:14.113517
35	0	7	0	0:00:14.114295
36	3	3	1	0:00:14.117216
37	7	7	1	0:00:14.110338
38	3	5	0	0:00:14.117672
39	3	0	0	0:00:14.114552
40	5	-1	0	0:00:14.117957
41	2	2	1	0:00:14.122431
42	2	2	1	0:00:14.121888
43	7	7	1	0:00:14.122486
44	1	1	1	0:00:14.119518
45	1	1	1	0:00:14.118881
46	1	1	1	0:00:14.120260
47	2	0	0	0:00:14.123817
48	2	2	1	0:00:14.119662
49	0	3	0	0:00:14.125139
50	9	4	0	0:00:14.119803
51	5	5	1	0:00:14.119880
52	7	7	1	0:00:14.123950
53	9	9	1	0:00:14.121260
54	2	2	1	0:00:14.122668
55	2	2	1	0:00:14.117460
56	5	3	0	0:00:14.119844
57	2	2	1	0:00:14.120380
58	4	4	1	0:00:14.125621
59	3	9	0	0:00:14.121511
60	1	1	1	0:00:14.118384
61	1	1	1	0:00:14.118434
62	8	8	1	0:00:14.120197
63	2	2	1	0:00:14.118784
64	1	1	1	0:00:14.122782
65	1	1	1	0:00:14.120123
66	4	4	1	0:00:14.120296
67	9	9	1	0:00:14.119192
68	7	7	1	0:00:14.123402
69	8	8	1	0:00:14.122626
70	5	2	0	0:00:14.123887
71	9	1	0	0:00:14.127475
72	6	9	0	0:00:14.121442
73	7	7	1	0:00:14.121420
74	3	5	0	0:00:14.119352
75	1	8	0	0:00:14.122400
76	9	9	1	0:00:14.123451
77	0	0	1	0:00:14.122055
78	3	3	1	0:00:14.121808
79	1	1	1	0:00:14.123489
80	3	3	1	0:00:14.119663
81	5	5	1	0:00:14.126842
82	4	4	1	0:00:14.121783
83	5	3	0	0:00:14.120412
84	7	4	0	0:00:14.119154
85	7	7	1	0:00:14.123874
86	4	7	0	0:00:14.126739
87	7	7	1	0:00:14.126654
88	9	9	1	0:00:14.123011
89	4	4	1	0:00:14.120030
90	2	2	1	0:00:14.120256
91	3	3	1	0:00:14.122590
92	8	8	1	0:00:14.125620
93	0	0	1	0:00:14.131028
94	1	1	1	0:00:14.127193
95	6	6	1	0:00:14.122359
96	1	1	1	0:00:14.126163
97	1	1	1	0:00:14.121064
98	4	4	1	0:00:14.127125
99	1	1	1	0:00:14.123725
100	8	8	1	0:00:14.124317
101	3	3	1	0:00:14.122977
102	9	9	1	0:00:14.123290
103	6	6	1	0:00:14.123977
104	6	6	1	0:00:14.127567
105	1	1	1	0:00:14.124466
106	8	8	1	0:00:14.126668
107	5	3	0	0:00:14.125337
108	2	2	1	0:00:14.121389
109	9	9	1	0:00:14.123159
110	9	1	0	0:00:14.125158
111	8	0	0	0:00:14.122064
112	1	1	1	0:00:14.121586
113	7	7	1	0:00:14.118613
114	7	7	1	0:00:14.119270
115	0	0	1	0:00:14.125879
116	0	0	1	0:00:14.122422
117	6	6	1	0:00:14.119369
118	9	9	1	0:00:14.120720
119	1	1	1	0:00:14.117964
120	2	2	1	0:00:14.117946
121	2	4	0	0:00:14.121854
122	9	9	1	0:00:14.119441
123	2	5	0	0:00:14.116325
124	6	6	1	0:00:14.121178
125	6	6	1	0:00:14.121119
126	1	1	1	0:00:14.118364
127	9	9	1	0:00:14.125647
128	5	3	0	0:00:14.122770
129	0	0	1	0:00:14.121135
130	4	4	1	0:00:14.120576
131	7	7	1	0:00:14.121252
132	6	6	1	0:00:14.123287
133	7	7	1	0:00:14.122354
134	1	1	1	0:00:14.120240
135	8	8	1	0:00:14.119881
136	1	1	1	0:00:14.119864
137	1	1	1	0:00:14.129984
138	2	2	1	0:00:14.125471
139	8	9	0	0:00:14.120812
140	1	1	1	0:00:14.119418
141	3	6	0	0:00:14.121501
142	3	3	1	0:00:14.122661
143	6	6	1	0:00:14.121254
144	2	2	1	0:00:14.123905
145	4	4	1	0:00:14.125639
146	9	1	0	0:00:14.121292
147	9	9	1	0:00:14.120701
148	5	5	1	0:00:14.123295
149	4	4	1	0:00:14.121886
150	3	4	0	0:00:14.127383
151	6	3	0	0:00:14.121111
152	7	7	1	0:00:14.123827
153	4	2	0	0:00:14.121751
154	6	9	0	0:00:14.120702
155	8	8	1	0:00:14.126033
156	5	4	0	0:00:14.120584
157	5	5	1	0:00:14.121266
158	4	4	1	0:00:14.125177
159	3	3	1	0:00:14.125901
160	1	1	1	0:00:14.124324
161	8	8	1	0:00:14.125938
162	4	2	0	0:00:14.121535
163	7	7	1	0:00:14.122643
164	6	6	1	0:00:14.122678
165	0	0	1	0:00:14.121143
166	9	9	1	0:00:14.126025
167	5	3	0	0:00:14.121355
168	1	1	1	0:00:14.120556
169	3	3	1	0:00:14.120713
170	8	8	1	0:00:14.122434
171	2	2	1	0:00:14.120973
172	7	7	1	0:00:14.125497
173	5	3	0	0:00:14.121663
174	3	3	1	0:00:14.120824
175	4	4	1	0:00:14.124330
176	1	1	1	0:00:14.121586
177	5	5	1	0:00:14.122007
178	7	7	1	0:00:14.126195
179	0	4	0	0:00:14.121226
180	4	4	1	0:00:14.124443
181	7	7	1	0:00:14.130628
182	5	5	1	0:00:14.121672
183	5	9	0	0:00:14.123491
184	1	1	1	0:00:14.126266
185	0	0	1	0:00:14.122504
186	9	9	1	0:00:14.121244
187	6	6	1	0:00:14.121954
188	9	9	1	0:00:14.120911
189	0	8	0	0:00:14.119501
190	8	8	1	0:00:14.124712
191	7	0	0	0:00:14.119004
192	8	8	1	0:00:14.122721
193	8	8	1	0:00:14.121550
194	2	2	1	0:00:14.122499
195	5	5	1	0:00:14.125065
196	2	2	1	0:00:14.122406
197	3	3	1	0:00:14.121812
198	5	2	0	0:00:14.116936
199	0	0	1	0:00:14.121325
200	6	6	1	0:00:14.118120
201	1	1	1	0:00:14.125040
202	9	9	1	0:00:14.121136
203	3	3	1	0:00:14.124617
