idx	label	predict	correct	time
0	0	0	1	0:00:14.295281
1	0	0	1	0:00:14.083971
2	0	8	0	0:00:14.092662
3	0	8	0	0:00:14.097983
4	0	0	1	0:00:14.104262
5	0	8	0	0:00:14.100603
6	0	1	0	0:00:14.108835
7	0	0	1	0:00:14.112223
8	0	0	1	0:00:14.108384
9	0	2	0	0:00:14.118875
10	0	0	1	0:00:14.107355
11	0	0	1	0:00:14.120291
12	0	9	0	0:00:14.125550
13	0	0	1	0:00:14.129540
14	0	3	0	0:00:14.135192
15	0	0	1	0:00:14.123099
16	0	0	1	0:00:14.134934
17	0	4	0	0:00:14.133456
18	0	9	0	0:00:14.132514
19	0	9	0	0:00:14.126917
20	0	8	0	0:00:14.150653
21	0	0	1	0:00:14.147030
22	0	0	1	0:00:14.150320
23	0	0	1	0:00:14.139691
24	0	0	1	0:00:14.145225
25	0	0	1	0:00:14.137112
26	0	8	0	0:00:14.145863
27	0	0	1	0:00:14.137211
28	0	7	0	0:00:14.137532
29	0	9	0	0:00:14.141443
30	0	8	0	0:00:14.143814
31	0	8	0	0:00:14.150349
32	0	9	0	0:00:14.152984
33	0	0	1	0:00:14.147917
34	0	8	0	0:00:14.150482
35	0	8	0	0:00:14.153329
36	0	8	0	0:00:14.152396
37	0	0	1	0:00:14.154826
38	0	0	1	0:00:14.153815
39	0	0	1	0:00:14.151511
40	0	0	1	0:00:14.154842
41	0	5	0	0:00:14.148316
42	0	4	0	0:00:14.152440
43	0	8	0	0:00:14.158376
44	0	4	0	0:00:14.157434
45	0	2	0	0:00:14.151856
46	0	0	1	0:00:14.148587
47	0	8	0	0:00:14.144897
48	0	9	0	0:00:14.154547
49	0	9	0	0:00:14.154233
50	0	0	1	0:00:14.154020
51	0	0	1	0:00:14.152423
52	0	0	1	0:00:14.153862
53	0	0	1	0:00:14.157148
54	0	8	0	0:00:14.155863
55	0	0	1	0:00:14.153683
56	0	0	1	0:00:14.153187
57	0	0	1	0:00:14.152968
58	0	0	1	0:00:14.155602
59	0	0	1	0:00:14.152169
60	0	3	0	0:00:14.159434
61	0	0	1	0:00:14.151386
62	0	9	0	0:00:14.158762
63	0	7	0	0:00:14.147821
64	0	0	1	0:00:14.157853
65	0	3	0	0:00:14.159955
66	0	4	0	0:00:14.162972
67	0	3	0	0:00:14.153472
68	0	8	0	0:00:14.156374
69	0	7	0	0:00:14.156126
70	0	9	0	0:00:14.157356
71	0	8	0	0:00:14.157915
72	0	0	1	0:00:14.162923
73	0	1	0	0:00:14.150057
74	0	0	1	0:00:14.156882
75	0	0	1	0:00:14.154959
76	0	8	0	0:00:14.153439
77	0	0	1	0:00:14.158255
78	0	0	1	0:00:14.159366
79	0	9	0	0:00:14.154615
80	0	0	1	0:00:14.159797
81	0	0	1	0:00:14.157379
82	0	0	1	0:00:14.156122
83	0	0	1	0:00:14.163371
84	0	0	1	0:00:14.158728
85	0	2	0	0:00:14.152662
86	0	7	0	0:00:14.156277
87	0	2	0	0:00:14.157447
88	0	0	1	0:00:14.153449
89	0	0	1	0:00:14.160720
90	0	0	1	0:00:14.155179
91	0	0	1	0:00:14.156437
92	0	5	0	0:00:14.155253
93	0	-1	0	0:00:14.154402
94	0	0	1	0:00:14.160172
95	0	8	0	0:00:14.156611
96	0	0	1	0:00:14.158353
97	0	0	1	0:00:14.155567
98	0	7	0	0:00:14.154195
99	0	0	1	0:00:14.155589
100	0	0	1	0:00:14.161541
101	0	0	1	0:00:14.156351
102	0	5	0	0:00:14.154357
103	0	8	0	0:00:14.153013
104	0	0	1	0:00:14.158994
105	0	8	0	0:00:14.155101
106	0	0	1	0:00:14.159915
107	0	0	1	0:00:14.154799
108	0	3	0	0:00:14.152963
109	0	4	0	0:00:14.157729
110	0	0	1	0:00:14.154345
111	0	8	0	0:00:14.156307
112	0	1	0	0:00:14.156707
113	0	6	0	0:00:14.149081
114	0	0	1	0:00:14.154336
115	0	0	1	0:00:14.155131
116	0	1	0	0:00:14.155929
117	0	0	1	0:00:14.157526
118	0	9	0	0:00:14.157115
119	0	8	0	0:00:14.152559
120	0	0	1	0:00:14.158239
121	0	0	1	0:00:14.154114
122	0	0	1	0:00:14.156322
123	0	0	1	0:00:14.158609
124	0	3	0	0:00:14.152184
125	0	2	0	0:00:14.153168
126	0	3	0	0:00:14.155588
127	0	0	1	0:00:14.150558
128	0	0	1	0:00:14.160861
129	0	9	0	0:00:14.159611
130	0	0	1	0:00:14.163556
131	0	1	0	0:00:14.158153
132	0	0	1	0:00:14.150672
133	0	9	0	0:00:14.153105
134	0	-1	0	0:00:14.157846
135	0	9	0	0:00:14.155030
136	0	8	0	0:00:14.150744
137	0	0	1	0:00:14.154197
138	0	0	1	0:00:14.148363
139	0	3	0	0:00:14.150527
140	0	0	1	0:00:14.157570
141	0	6	0	0:00:14.153026
142	0	4	0	0:00:14.151545
143	0	0	1	0:00:14.152665
144	0	2	0	0:00:14.145185
145	0	9	0	0:00:14.153361
146	0	0	1	0:00:14.156069
147	0	0	1	0:00:14.156403
148	0	2	0	0:00:14.152455
149	0	0	1	0:00:14.153632
150	0	8	0	0:00:14.154711
151	0	8	0	0:00:14.158968
152	0	8	0	0:00:14.161200
153	0	9	0	0:00:14.162878
154	0	0	1	0:00:14.182455
155	0	8	0	0:00:14.163901
156	0	9	0	0:00:14.164300
157	0	9	0	0:00:14.167011
158	0	8	0	0:00:14.172494
159	0	9	0	0:00:14.176015
160	0	0	1	0:00:14.172369
161	0	9	0	0:00:14.164311
162	0	7	0	0:00:14.158073
163	0	3	0	0:00:14.165666
164	0	0	1	0:00:14.163544
165	0	8	0	0:00:14.160939
166	0	8	0	0:00:14.166278
167	0	9	0	0:00:14.163198
168	0	0	1	0:00:14.162613
169	0	9	0	0:00:14.168729
170	0	0	1	0:00:14.159890
171	0	9	0	0:00:14.163893
172	0	6	0	0:00:14.162718
173	0	0	1	0:00:14.167565
174	0	0	1	0:00:14.155448
175	0	8	0	0:00:14.160278
176	0	9	0	0:00:14.149542
177	0	8	0	0:00:14.154258
178	0	9	0	0:00:14.154234
179	0	8	0	0:00:14.152213
180	0	4	0	0:00:14.153230
181	0	8	0	0:00:14.154306
182	0	8	0	0:00:14.152410
183	0	0	1	0:00:14.153213
184	0	2	0	0:00:14.151963
185	0	8	0	0:00:14.152600
186	0	8	0	0:00:14.160677
187	0	4	0	0:00:14.148338
188	0	4	0	0:00:14.154494
189	0	3	0	0:00:14.151726
190	0	8	0	0:00:14.155330
191	0	0	1	0:00:14.154658
192	0	8	0	0:00:14.152937
193	0	2	0	0:00:14.153457
194	0	1	0	0:00:14.147266
195	0	9	0	0:00:14.154256
196	0	0	1	0:00:14.154251
